text,translation,source,src,target,source_id_or_reference
"El domingo 10 de octubre de 1610 el señor don Antonio Valeriano el Joven se casó con la señora doña Bárbara, que era su pariente, pues ambos eran bisnietos del señor don Diego de Alvarado Huanitzin, quien fue tlatohuani de Tenochtitlan.","Axcan domingo yc 10 metztli octubre de 1610 años, yquac omonamicti yn tlacatl don Antonio Valleriano telpochtli, oquimonamicti yn cihuapilli doña Bárbara çan ihuayolcatzin, ynin omoteneuhque yccatotonhuan yn tlacatl don Diego de Alvarado Huanitzin tlahtohuani catca Tenochtitlan.",Diario,es,nah,73
"4 Acatl, 1431.","IIII Acatl xihuitl, 1431.",Tercera Relación (Libro las ocho relaciones),es,nah,74
"En este año murió nuestro querido padre fray Alonso de Molina, religioso de San Francisco, que era nuestro predicador.",Ypan in yquac momiquilli yn totlaçotatzin fray Alonso de Molina Sant Francisco teopixqui totemachticatzin catca.,Diario,es,nah,75
3	dientes de ajo,Yei axoxtlantli,Recetario Nahua de Milpa Alta D.F,es,nah,76
las vuestras.,anmohuaxcahuan,Método auto-didáctico náhuatl-español,es,nah,77
"Los chichimecas totolimpanecas estuvieron mucho tiempo en Aztlan Teocolhuacan, pues llevaban allí 1160 años cuando se movieron y partieron para venir caminando hacia acá.","Auh ynic cenca huecahuaque ynic ompa catca yn Aztlan Teoculhuacan yn chichimeca totolimpaneca, ontzonxihuitl ypan caxtolpohualxihuitl ypan yepohualxiuhtique ynic nimann ompa hualolimque huallehuaque ynic ohualnenenque.",Diario,es,nah,78
Muchas gracias. ¿Dónde podría comprar unas estampillas?,Tlazohcamati huel miac. Canin cualli niquincohuaz in painpepeyoctin ?,Método auto-didáctico náhuatl-español,es,nah,79
"Testigo Francisco de Luna casado habitante del tlaxilacali de San Martin Atexcapan hizo juramento ante dios nuestro señor y la Virgen Sancta María y por la señal de la Santa Cruz. Le fue impuesta culpa para que rectamente diga lo que sea preguntado si dice verdad dios lo premiará y sino sera castigado en el infierno, el así dijo, que dirá verdad.",Testigo Francisco de Luna namique ytlaxilacaltiyan San Martin Atezcapan macoc juramento ypaltzinco yn totecuyo dios yhuan yn ciuapilli Sancta Maria yhuan yn ymachiyo Santa Cruz onca tlatlacoltiloc ynic melahuac quitoz yn tlein tlatlaniloz yn tla melahuac quito yquimotlaocoliliz yn dios yn tlacamo mictlan quitzacuctiaz auh yn yehuatl yuh quito ynic me [F.112v.] lahuac quitoz.,Documentos nauas de la Ciudad de México del siglo XVI,es,nah,80
"También en todas las iglesias de los monasterios en que hay frailes religiosos se hicieron plegarias por el dicho señor arzobispo; asimismo se hicieron plegarias en todas las iglesias de los monasterios de monjas, y diariamente, durante una semana, estuvo expuesto el Santísimo Sacramento, a fin de que el arzobispo no muriera, sino que Dios nuestro señor le diera salud.","Auh no yhui yn izquican teopan monasterios yn oncan moyetzticate teopixque frayles, || 165 huel yzquican no ypampatzinco tlatlatlauhtiloc yn omoteneuhtzino teoyotica tlahtohuani arçobispo; auh çanno yhui yn izquican teopan monasterios monjas tlatlatlauhtiloc, huel ce semana yn izquican mixtlapohuiltiticatca Sanctíssimo Sacramento cecemilhuitl, ynic amo momiquiliz, çan quimochicahuiliz in totecuiyo Dios.",Diario,es,nah,81
"En este año los mexicas se trasladaron a Tizayocan, donde se quedaron un año.","Nican ypan in yn oncan hualmicuanique Tiçayocan mexica, oncan cexiuhtique.",Memorial Breve (Libro las ocho relaciones),es,nah,82
Sal al gusto,"Iztatl, ixquich in monequiz",Recetario Nahua de Milpa Alta D.F,es,nah,83
"Se fue éste a buscar a susmujeres, les dijo:","Auh yn o ahcico,quimilhui ycihuahuan:",Trece Poetas del Mundo Azteca,es,nah,84
Y las casas fueron edificadas por el padre y por la madre vieja y sobre el pleyto que trae agora Pedro [Mazaquen] en esto no tiene que dezir ni tanpoco Ynes Tiacapan solo las quiere husurpar y las desea y son de difuntos y lo que la Maria Joco mandó se vendan las casas lo declaró en nuestra presencia porque el tiempo que estuvo enferma la servimos y esto responde este testigo Pedro Hernandez [Puso su firma].,Auh in calli ca huel imatica quiquetztia in tatli yhuan nantli ylamatzin auh yn oncan tlatua yn axcan moteylhuia in Pedro Mazaquen ca amo yntlatohuaya in tlatohua yhoan Ines Tiacapan zan quellehuia in micacali yn tlen oquitlali in illamatzin catca Maria Xoco inic monamacaz calli ca huel tixpan yn iuh oquitotia yhoan tictequipanohuaya inic omococohuaya yxquichin yn itlatul in testigos yc oquineltili oquitlali yn ifirma. Pedro Hernandez.,Documentos nauas de la Ciudad de México del siglo XVI,es,nah,85
"Testigo, Miguel Uitztecpancatl habitante de San Sebastian Zacatla, casado su edad es de setenta y cinco años. Juró y fue penado para que no diga mentira.",Testigo. Miguel Uitztecpancatl ychan San Sebastian Zacatla omonamicti yn isquich cauitl ye nemi ye epoualxiuitl ye oncastoli xiuitl o macoc juramento ynic otlatlacoltiloc ynic amo yztlacatiz.,Documentos nauas de la Ciudad de México del siglo XVI,es,nah,86
1	kilo de hongos “yemitas”,Ce kilo pelencoznanacatl,Recetario Nahua de Milpa Alta D.F,es,nah,87
En la cocina ayuda a lavar los trastes.,Ipan tlacualchihualoyan tlanahnamiqui ihuan tlacaxitlpahapaca.,Método auto-didáctico náhuatl-español,es,nah,88
"En este año abandonaron su ciudad los tlalhuacpanecas para ir a establecerse en Cuauhximalpan; allá estuvieron dos años, pero luego nuevamente se fueron a Atzacualoyan enmedio del bosque.","Nican ypan in yn quitlalcahuique yn imaltepeuh yn tlalhuacpaneca ynic motecato yn Quauhximalpan; oncan oxiuhtique, niman noceppa callacque yn Atzaqualloyan yn quauhnepantla.",Tercera Relación (Libro las ocho relaciones),es,nah,89
Se da en el cafetal y en la milpa.,Onkak kajfentaj uan milaj.,Una tortillita nomás - Se taxkaltsin saj,es,nah,90
No se vende.,Amo monamaka.,Una tortillita nomás - Se taxkaltsin saj,es,nah,91
"Komo amo se kitoka, pos amo mochiua.","Si no se siembra, no se da.",Una tortillita nomás - Se taxkaltsin saj,es,nah,92
vendais,manxitlanamacan,Método auto-didáctico náhuatl-español,es,nah,93
"Les decía: “¡Señores, ya basta! ¿Qué estáis haciendo? Pobre gente; ¿acaso traen escudos y macanas? Están desarmados”.","Quimilhuiaya: “Totecuiouané, ma ysquich! Tle amailia? Motolinia maceualli; cuix ychimal cuix ymaquauh yetinemi? Ca mopetlauiltitinemi”.",Anales de Tlatelolco,es,nah,94
"Al oírlo, los mexicas se echaron a llorar; pero el diablo Huitzilopochtli les dijo nuevamente: ""No os aflijáis; vayamos a cantar"".","Auh yn oquicacque mexica, niman ye yc choca; auh niman ye noceppa oncan quimilhui yn diablo Huitzillopochtli: ""Maca ximotequipachocan, tla toncuicacan"".",Tercera Relación (Libro las ocho relaciones),es,nah,95
"Lo tiraron al agua, y los animales de la laguna le comieron el rostro; lo mataron en la taberna de Morejón en Temaztitlan; por alguna razón, sus propios parientes lo mataron degollándolo con una espada, y luego huyeron.","Huetztoc oquicuallique yn ixayac atlan chaneque; oncan yn ichan yhuino anoço yvinonamacayan Morexón Temaztitlan yn quimictique; çan quicocohuitecque yca ce gadana, çan ihuayolque yn tleyca quimictique cholloque.",Diario,es,nah,96
la suya.,ihuaxca.,Método auto-didáctico náhuatl-español,es,nah,97
"Y encima de las iglesias de los monasterios se encendieron muchas candelas de sebo, como todos lo vieron.","Auh yn monasterios teopixcan mochi sepo candelas ynteopantlapanticpac tlatlatlac, yn iuh mochi tlacatl oquittac.",Diario,es,nah,98
2	dientes de ajo,Ome axoxtlantli,Recetario Nahua de Milpa Alta D.F,es,nah,99
"El fruto se come cuando ya está maduro, se corta y así ya se come.","Itakilo se kikua de oksik, se kiteki uan iujki se kikua ya.",Una tortillita nomás - Se taxkaltsin saj,es,nah,100
